2026-04-06 17:37:01,260 | INFO | Database initialized: data/stocks.db
2026-04-06 17:37:01,261 | INFO | === Starting full market collection ===
2026-04-06 17:37:04,139 | INFO | Eastmoney quotes: 100 stocks
2026-04-06 17:37:04,162 | INFO | Saved 100 quotes to database
2026-04-06 17:37:04,162 | INFO | === Full market collection completed ===
2026-04-06 17:48:12,775 | INFO | Database initialized: data/stocks.db
2026-04-06 17:48:15,152 | INFO | Eastmoney quotes: 100 stocks
2026-04-06 17:48:17,385 | WARNING | Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:20,492 | WARNING | Request failed (attempt 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:24,252 | WARNING | Request failed (attempt 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:26,538 | WARNING | Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:29,658 | WARNING | Request failed (attempt 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:33,474 | WARNING | Request failed (attempt 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:35,793 | WARNING | Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:38,465 | WARNING | Request failed (attempt 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:42,096 | WARNING | Request failed (attempt 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:44,225 | WARNING | Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:47,022 | WARNING | Request failed (attempt 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:50,766 | WARNING | Request failed (attempt 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:53,082 | WARNING | Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:55,926 | WARNING | Request failed (attempt 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:48:59,975 | WARNING | Request failed (attempt 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:02,264 | WARNING | Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:05,372 | WARNING | Request failed (attempt 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:09,404 | WARNING | Request failed (attempt 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:11,813 | WARNING | Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:14,862 | WARNING | Request failed (attempt 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:18,750 | WARNING | Request failed (attempt 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:21,131 | WARNING | Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:23,986 | WARNING | Request failed (attempt 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:27,503 | WARNING | Request failed (attempt 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:29,528 | WARNING | Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-06 17:49:32,400 | WARNING | Request failed (attempt 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
